,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
611,2016,PNW,51.7,10112.3,24793.4,2.7833001988071704,-25.837892544406472,-2.0318007238932068
612,2017,PNW,51.7,10822.5,31238.3,0.0,7.023130247322573,25.994417869271658
613,2018,PNW,51.7,12008.5,32646.0,0.0,10.958650958650962,4.5063271688920326
614,2019,PNW,51.7,12298.8,33402.4,0.0,2.4174543032018825,2.316976046069974
615,2005,PPL,,,,0.0,0.0,0.0
616,2006,PPL,20.0,,,0.0,0.0,0.0
617,2007,PPL,22.1,,,10.499999999999998,0.0,0.0
618,2008,PPL,17.2,,,-22.171945701357476,0.0,0.0
619,2009,PPL,15.9,,,-7.558139534883712,0.0,0.0
620,2010,PPL,13.8,,,-13.207547169811317,0.0,0.0
621,2011,PPL,10.3,,,-25.36231884057971,0.0,0.0
622,2012,PPL,10.3,,,0.0,0.0,0.0
623,2013,PPL,16.6,,,61.165048543689316,0.0,0.0
624,2014,PPL,19.3,,,16.26506024096386,0.0,0.0
625,2015,PPL,42.8,30382.3,414.7,121.76165803108807,0.0,0.0
626,2016,PPL,40.7,28941.8,395.6,-4.906542056074759,-4.741247371002199,-4.605739088497696
627,2017,PPL,45.5,28587.4,404.6,11.793611793611781,-1.224526463454234,2.275025278058651
628,2018,PPL,45.5,29618.4,412.7,0.0,3.6064839754577083,2.0019772614928266
629,2019,PPL,46.9,26851.6,413.7,3.076923076923066,-9.341490424871035,0.24230676035861265
630,2005,PSX,,,,0.0,0.0,0.0
631,2006,PSX,,,,0.0,0.0,0.0
632,2007,PSX,,,,0.0,0.0,0.0
633,2008,PSX,,,,0.0,0.0,0.0
634,2009,PSX,,,,0.0,0.0,0.0
635,2010,PSX,,,,0.0,0.0,0.0
636,2011,PSX,,,,0.0,0.0,0.0
637,2012,PSX,2.3,,,0.0,0.0,0.0
638,2013,PSX,2.3,,,0.0,0.0,0.0
639,2014,PSX,6.2,,,169.5652173913044,0.0,0.0
640,2015,PSX,26.4,28200.0,141120.0,325.8064516129032,0.0,0.0
