fyear,Ticker,CompanyName,conml
2016,EOG,EOG RESOURCES INC,EOG Resources Inc.
2017,EOG,EOG RESOURCES INC,EOG Resources Inc.
2018,EOG,EOG RESOURCES INC,EOG Resources Inc.
2019,EOG,EOG RESOURCES INC,EOG Resources Inc.
2010,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2011,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2012,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2013,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2014,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2015,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2016,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2017,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2018,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2019,COG,CABOT OIL & GAS CORP,Cabot Oil & Gas Corp
2010,AES,AES CORP (THE),AES Corp (The)
2011,AES,AES CORP (THE),AES Corp (The)
2012,AES,AES CORP (THE),AES Corp (The)
2013,AES,AES CORP (THE),AES Corp (The)
2014,AES,AES CORP (THE),AES Corp (The)
2015,AES,AES CORP (THE),AES Corp (The)
2016,AES,AES CORP (THE),AES Corp (The)
2017,AES,AES CORP (THE),AES Corp (The)
2018,AES,AES CORP (THE),AES Corp (The)
2019,AES,AES CORP (THE),AES Corp (The)
2010,FTI,TECHNIPFMC PLC,TechnipFMC plc
2011,FTI,TECHNIPFMC PLC,TechnipFMC plc
2012,FTI,TECHNIPFMC PLC,TechnipFMC plc
2013,FTI,TECHNIPFMC PLC,TechnipFMC plc
2014,FTI,TECHNIPFMC PLC,TechnipFMC plc
2015,FTI,TECHNIPFMC PLC,TechnipFMC plc
2016,FTI,TECHNIPFMC PLC,TechnipFMC plc
2017,FTI,TECHNIPFMC PLC,TechnipFMC plc
2018,FTI,TECHNIPFMC PLC,TechnipFMC plc
2019,FTI,TECHNIPFMC PLC,TechnipFMC plc
2014,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2015,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2016,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2017,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2018,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2019,BKR,BAKER HUGHES CO,Baker Hughes a GE Co
2010,NOV,NOV INC,NOV Inc
2011,NOV,NOV INC,NOV Inc
2012,NOV,NOV INC,NOV Inc
2013,NOV,NOV INC,NOV Inc
2014,NOV,NOV INC,NOV Inc
2015,NOV,NOV INC,NOV Inc
2016,NOV,NOV INC,NOV Inc
2017,NOV,NOV INC,NOV Inc
2018,NOV,NOV INC,NOV Inc
2019,NOV,NOV INC,NOV Inc
2010,NRG,NRG ENERGY INC,NRG Energy Inc
2011,NRG,NRG ENERGY INC,NRG Energy Inc
